"","V1","V2"
"438","vvvt3Ljl1607424830988","360"
"439","vVxTNXYh1607806388688","560"
"440","5dC6Ce011608197558109","360"
"441","AROTnOqr1608132244816","360"
"442","eeHq22Rn1608570087685","560"
"443","LOu8xM7u1608373830826","360"
"444","LUIJWDlb1608028169598","360"
"445","MDgnXM0t1607953729803","560"
"446","3gw0IZD01606731339693","560"
"447","Db4Fb2vj1606920623993","360"
"448","rZD40JsX1607187826060","560"
"449","tW1e6BgD1607006001418","360"
"450","UQ3sv6O71607094099067","360"
"451","vHFD7bFt1606832475140","360"
"452","9VDZaLR71606986309685","360"
"453","MsBLefFs1606812549213","360"
"454","ndRl0Zzy1606904514302","360"
"455","V3rNlBrW1606731447393","560"
"456","v600F0O01607171585371","560"
"457","vC8PQMaS1607082892734","360"
"458","5utdUR9n1606209785094","360"
"459","bTfRjwJ91606301718627","360"
"460","H0NkV1M21606393994076","360"
"461","kSdn0kiC1606129213336","560"
"462","NZHSNsYT1606569090247","560"
"463","OOqpwZKU1606477085230","360"
"464","4gdIMy7g1607108052238","360"
"465","5eohCDE81607263833624","560"
"466","dJ064Boj1606750296224","560"
"467","IzwIVLiq1607038967391","360"
"468","WYe2dEFb1606944973282","360"
"469","y3GGk6bY1606842025029","360"
"470","Adeiey7m1607423270731","360"
"471","ELVsO4HD1607360927152","560"
"472","g3DdMO9w1607527663503","360"
"473","kSwfJ8MW1607701533291","360"
"474","SUDtPuBw1607614151082","360"
"475","TPkFTWlq1607780433103","560"
"476","EUOUveuY1608650079340","360"
"477","hW5rJPY31608315439093","360"
"478","HzpSClxP1607938272686","560"
"479","NQ6Q0NtA1608394783397","360"
"480","u18FoeUO1608629711711","360"
"481","ZBzPf54i1608735294682","560"
"482","Awb9h3qJ1606204943876","360"
"483","iF25WeN01606563381951","560"
"484","TPIO0xiK1606388050858","360"
"485","UgFe7W2L1606132041715","560"
"486","vZyvEn181606474556027","360"
"487","zAV8MUzw1606293974077","360"
"488","1AbKMN1X1605792593185","560"
"489","4Kl0XsRA1605079637127","360"
"490","6u0LGhBQ1605165977450","360"
"491","eDSYQGwf1604948511915","360"
"492","JPTTfQcV1605539269031","360"
"493","O0Unw0Iw1604826621929","560"
"495","a01qPIwA1608473484318","560"
"496","A805C6eR1608300746241","360"
"497","pLrjKvLQ1608126915722","360"
"498","u0WD2OS51607962377225","560"
"499","X1wse4H91608389896038","360"
"500","y0EusjRD1608030414683","360"
"501","68R6C1fR1604946622616","360"
"502","H3wAHEqT1605038789763","360"
"503","jUdOs60j1605293724862","560"
"504","RmkErvvy1605125394764","360"
"505","SF6q1J041604857235491","560"
"506","WXD00aAQ1605268497257","360"
"507","11O4w7Uj1606294896571","360"
"508","EwxCN7Sm1606219465603","360"
"509","Fv0UsiTJ1606396630798","360"
"510","lL16B60W1606482870627","360"
"511","Stq18zIJ1606129210889","560"
"512","ZHor0uTZ1606574360859","560"
"513","817XBqa01608371845117","560"
"514","KvHGohQq1608019000990","360"
"515","mI0Fwrgh1608195473416","360"
"516","OFYU29VL1608111262498","360"
"517","URnhNu0E1608291143186","360"
"518","WlyEFYcX1607944530753","560"
"519","5VMSGQm51604828351975","560"
"520","gxoJH06J1605001198044","360"
"521","nMshsee51605083514429","360"
"522","sjtk9eR61605167003010","360"
"523","SrbJUksA1605313994848","560"
"524","Yk0CzAT01605276582468","360"
"525","2dewkQFl1605556923082","360"
"527","k3HR0gTP1604827040480","560"
"528","PYicUFxz1605081189174","360"
"529","RC2y20gl1605385577914","360"
"530","TdfpQ17j1605739837218","560"
"531","TzjOegSk1605300467071","360"
"532","0EIcrKus1608303802296","360"
"533","7qOAtXPX1608117947042","360"
"534","JNlng1Fu1607953996039","560"
"535","wp6BW73J1608389331802","560"
"536","xZSjOSPm1608050245881","360"
"537","YOhRo0ZK1608210595276","360"
"538","bWGc7KKO1607172530997","560"
"539","DYJmdkEj1606904906094","360"
"540","GGaQNLBn1606731202078","560"
"541","n8NLCjDr1606813221378","360"
"542","p0ttO4fd1607083794467","360"
"543","p1UrTLEW1606986366516","360"
"544","5rVTqHRK1606293527682","360"
"545","eNnGQgLL1606499555034","360"
"546","FI03uMXc1606206541745","360"
"547","T41WK5Xe1606571801803","560"
"548","z9LhC4Xa1606388334343","360"
"549","Zz9CriWr1606129220111","560"
"550","7fSytmoi1607508802790","360"
"551","As0ua8J81607770920105","560"
"552","AW7lnVJr1607596029830","360"
"553","BM11sgxA1607342189783","560"
"554","jnYsArnG1607687637355","360"
"555","Knph0ydV1607424147627","360"
"556","cUgU0wTB1607170426424","560"
"557","KDMNCS0l1606812772220","360"
"558","KktZcEYT1606905324305","360"
"559","RzQnLGnJ1606986629683","360"
"560","sS7tSQqW1607086762033","360"
"561","UzzIUaMr1606731945528","560"
"562","7QoDg55S1608119378027","360"
"563","dD2Z0EKg1607962421951","560"
"564","GrdEYS7n1608294557057","360"
"565","PbmLV6RU1608384267751","560"
"566","qTbCGPxu1608037652803","360"
"567","Ta2Qtbe81608203646743","360"
"568","6sUe904J1607682131548","360"
"569","MZsbsQr61607355622122","560"
"570","NkB0Jfu01607508112598","360"
"571","tPYLo7381607423493540","360"
"572","wtMktcEn1607772620341","560"
"573","ZzLq9b0k1607597455085","360"
"574","0YmNa1qv1604826955391","560"
"575","14B5KFYM1604949667911","360"
"577","791KGMYG1605294664810","360"
"578","Eeb0j0D01605201400475","360"
"579","fQ30ti1p1605555070436","360"
"580","QtTe22hZ1605641884205","560"
"581","0QgI7x5A1606815899952","360"
"582","490tDlEq1607178804417","560"
"583","cnkX4PU61607090758434","360"
"584","n0xvJN7W1607010713229","360"
"585","QFoWtw8W1606925097041","360"
"586","rqR0k75f1606731361817","560"
"587","7uEE38Hn1606921035830","360"
"588","b9na7Oi41607016693175","360"
"589","g04NizxI1607179882590","560"
"590","lCXUzOQc1607087617636","360"
"591","mXOcus0Z1606836053027","360"
"592","wc8X4zLC1606769515383","560"
"593","c0Ku3AOP1606212893076","361"
"594","E65K4Rzl1606576111599","560"
"595","ILX9aY5b1606129306963","560"
"596","sC5hBkod1606296385200","360"
"597","sq66RiVE1606473135270","360"
"598","vLimj8pA1606388444402","361"
"599","5Efhp1ti1606130498936","560"
"600","Mjkikwls1606212780660","360"
"601","ncvJ99Ml1606572988089","560"
"602","OrPHqCuY1606314030560","360"
"603","QzpZfNxm1606485625266","360"
"604","WmR2p9AK1606416454777","360"
"605","24NkSv0f1609428471630","560"
"606","h4aGF1AE1608740032297","360"
"607","JH0K6SPv1607963029539","560"
"608","oD2HPzHF1608060215006","360"
"609","QzbGi3171609087749815","360"
"610","YM8Am2KC1609258811257","360"
"611","9U0k7c9a1607878684307","560"
"612","9XGZw0w91607355539882","560"
"613","B3WDQQuj1607436807388","360"
"614","dVRG5XZf1607614184925","360"
"615","e1LQJeGl1607784899215","360"
"616","NFe8tnTl1607519133946","360"
"617","0dBjlwSm1606294042742","360"
"618","8rWUZqa01606129334102","560"
"619","B5tza0LB1606204938627","360"
"620","mCEwCJQB1606388311995","360"
"621","Nb0ZHtSD1606572988163","560"
"622","TkD0b99s1606471403315","360"
"623","gYY9nwgR1606557975702","560"
"624","kD7L8os11606391357621","360"
"625","Lse7Nw1n1606471810371","360"
"626","N1Jo7pbh1606129206773","560"
"627","S1ut0GOW1606208291163","360"
"628","xHTmgaN91606301064989","360"
"629","5VfM1f1A1608112444154","360"
"630","6NQuOsBz1608374825184","560"
"631","e20PRV7b1607954328722","560"
"632","HZUNakh51608019658321","360"
"633","NemMVNrJ1608290931954","360"
"634","vc00f5iE1608197157751","360"
"635","A8Ypf4lu1607090549092","360"
"636","dj4DYjD61607172504589","560"
"637","F1iFsPns1606923014004","360"
"638","glg0bxEd1606985961607","360"
"639","UkXwiO0H1606811801723","360"
"640","xHJj9Q8J1606731410549","560"
"641","5VXnyqLm1607782357488","560"
"642","6vk8Grc11607350652236","560"
"643","6yEuyi5e1607595859145","360"
"644","hMwMW2kq1607683916424","360"
"645","q23jIgAC1607520046423","360"
"646","v1o06jWq1607429520170","360"
"647","33PSNk6Y1605186342661","360"
"648","3wsA7BJ01604946745624","360"
"649","9p3Wcc001606226910632","560"
"650","APT0TdiZ1604826506872","560"
"651","d9yWF4da1605859047425","360"
"652","Sm7ZtOGI1606128436368","360"
"653","1eEdNWeI1606986310505","360"
"654","HOjuA4NM1607170164912","560"
"655","ki9wUKHj1606763710275","560"
"656","ny72K6q61607091972430","360"
"657","p3pciwHV1606824233759","360"
"658","V49cTuyx1606904712621","360"
"659","4OJDi3fv1606844560301","360"
"660","9nZRUu0T1607203088353","560"
"661","DI0DTyjp1606750317149","560"
"662","lfmu69fZ1607121407524","360"
"663","upDSHneO1607017782192","360"
"664","Yj0HTqRA1606953405137","360"
"665","0900Z2rg1606750153141","560"
"666","3sbqk0371607093989914","360"
"667","eX8oyfbl1607183265359","560"
"668","mi87Baip1606833116391","360"
"669","UgmIc0UW1606988411979","360"
"670","VVcfYCCI1606920530002","360"
"671","0Y7PwYak1607508709381","360"
"672","Iq0yhO0z1607426796061","360"
"673","kmkRVzVF1607355669885","560"
"674","PS3CoV1i1607768156586","560"
"675","sF9sKiaZ1607674087282","360"
"676","XhyLdVF41607597185450","360"
"677","BtFitTgV1607427694481","360"
"678","Q8tMGNFA1607619298237","360"
"679","TULUVUbV1607685763375","360"
"680","y20PClT11607543490707","360"
"681","ZsuXmaHZ1607777101826","560"
"682","ZSx0Fle51607355836244","560"
"683","0P2RFLo91606763497375","560"
"684","3n8K001D1606968985966","360"
"685","lIWfW94y1607213956389","360"
"686","TgmT1zWT1606883154833","360"
"687","tR0RFZ5w1607020349267","360"
"688","yQ54O0Dg1607303258003","560"
"689","0j00B2rz1607084875562","360"
"690","7Be8fSYd1606731437986","560"
"691","c2icOVbx1606904498216","360"
"692","gLfk6JWz1606814306397","360"
"693","M4yyfCGr1606994543209","360"
"694","WZ4wiKqG1607174939327","560"
"695","0hDoX6Q01605885064663","360"
"696","eqzFZtNm1605710376611","360"
"697","GkkM9o5O1606048697740","560"
"698","HNaYMbTv1605798077218","360"
"699","S8o98zTU1605609401088","560"
"700","URbzt79d1605974878684","360"
"701","dSWojW331607355687315","560"
"702","mLZ4DGHW1607627162211","360"
"703","Q7BhQR5o1607712004926","360"
"704","rdP4UuAc1607541563392","360"
"705","WVNtXZkK1607433396966","360"
"706","zRBN4mkf1607784796414","560"
"707","9piybFoL1605479818196","360"
"708","DOr0SmF01605280640905","360"
"709","rhPWqwq91605040657240","360"
"710","RYD1SKac1605311040662","360"
"711","uph0N2Kj1604826764249","560"
"712","UvfyQH0c1605568614603","560"
"713","6upYLKJT1606731330179","560"
"714","RD4z6H0z1607183682359","560"
"715","UK5rHKfN1606904380044","360"
"716","WDB06AVK1606985836707","360"
"717","Z2l63ko51606811465745","360"
"718","Z9qKXYX31607091155806","360"
"719","2SEofNhb1606563304288","360"
"720","67Hko7Pd1606407381832","360"
"722","91ha0Sj51606665627678","360"
"723","dyyTcitX1606470494601","360"
"724","eyeWA0Ii1606732110518","560"
"725","oCSgugKW1606133147473","560"
"726","1vFGDmEG1606295770553","360"
"727","3hRpsc5h1606207040127","360"
"728","FgCdF8h61606388992091","360"
"729","m7Ddj2QK1606131133637","560"
"730","YuCqs4fK1606471666245","360"
"731","ze762fBl1606592712997","560"
"732","74Uj0Zvo1608133116656","360"
"733","ajWf6Vvh1608069827691","360"
"734","BGu2yTgn1607946370748","560"
"735","GAKh4j1h1608461154782","560"
"736","IuxFToMT1608222481285","360"
"737","N1B7X5uC1608324497148","360"
"738","0HVvlBTK1607431585361","360"
"739","Eh0xVAWi1607355519350","560"
"740","gWvU3Qu61607603300740","360"
"741","iJE7EAaU1607869706804","560"
"742","UuafqxGk1607786309445","360"
"743","z5un0nOr1607706405129","360"
"744","02qxKwdW1605125810923","360"
"745","AEdTPi9H1604826857372","560"
"746","fgJaDK8b1605212841743","360"
"747","kVd8nbLg1604948323556","360"
"748","LyqgXr8y1605343160309","560"
"749","v5RGxeO51605042764518","360"
"750","4y1XSIcl1606564157465","560"
"751","BIBdKhML1606129207104","560"
"752","Fv9ChXQx1606311765852","360"
"753","iLdQFU0M1606512408677","360"
"754","LKsKto8W1606236103286","360"
"755","S20fDRk81606396523942","360"
"756","BFWUuTBJ1607367642817","560"
"757","cNoneQWN1607733689561","360"
"758","eimiEH0N1607528679681","360"
"759","MIRdvRSL1607445924389","360"
"760","TaI4DAW21607615411777","360"
"761","UpzB1YSU1607816419261","560"
"763","9ikK2Q4E1607770564065","560"
"764","G4CamC3o1607674133694","360"
"765","Mmc0kl4Z1607513377473","360"
"766","Os7wE9NL1607355669925","560"
"767","sWjwVOjm1607423693936","360"
"768","V01HVSDJ1607598724329","360"
"769","87nDlwnF1607511996597","360"
"770","8KHc1G4c1607628309973","360"
"771","jYkNT0N51607360992059","560"
"772","kZVPowXU1607435578916","360"
"773","pApCGlX81607781319220","560"
"774","swiPnVPu1607697752388","360"
"775","0ifoFIx21607713595867","360"
"776","1UTJGh081607429953869","360"
"777","5b7lXAJP1607811654456","560"
"778","82Rb3z7C1607357006871","560"
"779","TZYenoAc1607508784229","360"
"780","vUey2d8q1607595797371","360"
"781","0YEPHUpZ1604687915010","360"
"782","1N5KCCfs1604331453970","360"
"783","erO36cqs1604777265741","560"
"784","ervglQvY1604234061726","560"
"785","ituSSPSb1604432112537","360"
"786","REntVbBr1604598269576","360"
"787","9IOaGMcQ1606475850218","360"
"788","bAbrsZuT1606301020533","360"
"789","MRE18amq1606129211021","560"
"790","r3awBkgV1606561440501","560"
"791","VC4W0U2X1606215397534","360"
"792","veu6Aa7X1606388117390","360"
"793","0Gtibjth1606470016602","360"
"794","309o0uEy1606207641821","360"
"795","qd48dKCO1606300787805","360"
"796","rcOU8CBz1606564377138","560"
"797","WDz4Z0aF1606129384916","560"
"798","Ww7ATyVI1606388098458","360"
"799","0nysdTMb1604232958068","560"
"800","H9F79w3S1604480935023","360"
"801","jNEq6W1B1604742709509","560"
"802","kwj0GClh1604394528733","360"
"803","mdGCA5j01604571448830","360"
"804","OnPGJ4ct1604307886558","360"
"805","A9xpZz3n1606474819649","360"
"806","IcdJvWvS1606129220173","560"
"807","Jh0b9HOf1606207302539","360"
"808","p0q3lR051606557900728","560"
"809","U9ZV0uB21606388226846","360"
"810","uPtUCBZr1606300782566","360"
"811","bLXOVo011606294144013","360"
"812","hn9VcvZ51606469259736","360"
"813","jEqGBe011606557428417","560"
"814","s97pOCVH1606387767216","360"
"815","v0axfEOi1606129226893","560"
"816","zuMd4E0x1606208726945","360"
"817","8ZSy70w51607084796608","360"
"818","PLMy90Zu1607182598072","560"
"819","pRP66twn1606828482303","360"
"820","v2sk7ktG1606731539685","560"
"821","vdrRz7Vo1607000289933","360"
"822","zh3hKOdp1606905732399","360"
"823","0raJruLC1608204219114","360"
"824","FeUa2g1i1608019056555","360"
"825","iNtB2s401608404382664","560"
"826","n7OvAMcv1608318353324","360"
"827","Pqhd5rhG1607962349385","560"
"828","USkK4D0a1608139790541","360"
"829","ElgT0Mim1607423233732","360"
"830","GRAzeFdt1607342176577","560"
"831","KpxiJUQf1607674131092","360"
"832","moxNHEWK1607595950297","360"
"833","xx7kjpwU1607508231904","360"
"834","ziYaUwAy1607768474853","560"
"835","jOCgp0HQ1606557271027","560"
"836","nAKEyHvg1606129998787","560"
"837","rIVeygTH1606293850725","360"
"838","tsl4aznt1606469433500","360"
"839","uFkAMSXC1606388473579","360"
"840","wH0ML1bc1606209554360","360"
"841","0CmaIpdF1607360495847","560"
"842","3njYPO0C1607596086209","360"
"843","9lx0FrGA1607508416145","360"
"844","D0GS0sGW1607423589770","360"
"845","W7eC9fXz1607769325684","560"
"846","X70360lb1607675012927","360"
"847","0SKDFPYh1606750412484","560"
"848","AcTEl6ZX1606915052531","360"
"849","fVI4sytH1606992799349","360"
"850","gSQXq0Ah1607179152512","560"
"851","iXcVrhFA1606832388020","360"
"852","y6HpQ0b21607082725638","360"
"853","DVGQNQN21607508730552","360"
"854","H8woT8JS1607595478303","360"
"855","nWS7cY7j1607674260679","360"
"856","rhFso2I21607767521220","560"
"857","wPAHOnPB1607423783257","360"
"858","xE4tPFBQ1607355632766","560"
"859","4lkfWCmQ1607954273553","560"
"860","cY6FPrTJ1608020382187","360"
"861","kLPUKVql1608293884100","360"
"862","rJ50GEh41608390324283","560"
"863","TvjnWT7f1608208650660","360"
"864","uIK0NCFB1608110588336","360"
"865","dxNZ7qEE1608209587956","360"
"866","iDxbDCxn1608372325561","560"
"867","jn20JkjJ1608154722023","360"
"868","LBNezsBs1608036384729","360"
"869","nmb4340W1607938179796","560"
"870","z4iADfvT1608328576196","360"
"871","07NpVes61607360660947","560"
"872","awlCVGmr1607773644669","560"
"873","IHzABy251607687597857","360"
"874","J2fUeOai1607517300153","360"
"875","r77co3JY1607604964254","360"
"876","rDrlRCsa1607423778369","360"
